airline,airline_sentiment,airline_sentiment_confidence,negativereason,tweet_created,clean_text,tweet_year,tweet_month,tweet_day,sentiment_label,char_count,word_count,avg_word_length
Virgin America,positive,0.3486,Unknown,2015-02-24 11:15:59-08:00,plus youve added commercials to the experience tacky,2015,2,24,2,52,8,6.5
Virgin America,neutral,0.6837,Unknown,2015-02-24 11:15:48-08:00,i didnt today must mean i need to take another trip,2015,2,24,1,51,11,4.636363636363637
Virgin America,negative,1.0,Bad Flight,2015-02-24 11:15:36-08:00,its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,2015,2,24,0,105,16,6.5625
Virgin America,negative,1.0,Can't Tell,2015-02-24 11:14:45-08:00,and its a really big bad thing about it,2015,2,24,0,39,9,4.333333333333333
Virgin America,negative,1.0,Can't Tell,2015-02-24 11:14:33-08:00,seriously would pay a flight for seats that didnt have this playing its really the only bad thing about flying va,2015,2,24,0,113,21,5.380952380952381
Virgin America,positive,0.6745,Unknown,2015-02-24 11:13:57-08:00,yes nearly every time i fly vx this ear worm wont go away,2015,2,24,2,57,13,4.384615384615385
Virgin America,neutral,0.634,Unknown,2015-02-24 11:12:29-08:00,really missed a prime opportunity for men without hats parody there,2015,2,24,1,67,11,6.090909090909091
Virgin America,positive,0.6559,Unknown,2015-02-24 11:11:19-08:00,well i didntbut now i do d,2015,2,24,2,26,7,3.7142857142857144
Virgin America,positive,1.0,Unknown,2015-02-24 10:53:27-08:00,it was amazing and arrived an hour early youre too good to me,2015,2,24,2,61,13,4.6923076923076925
Virgin America,neutral,0.6769,Unknown,2015-02-24 10:48:24-08:00,did you know that suicide is the second leading cause of death among teens,2015,2,24,1,74,14,5.285714285714286
Virgin America,positive,1.0,Unknown,2015-02-24 10:30:40-08:00,i lt pretty graphics so much better than minimal iconography d,2015,2,24,2,62,11,5.636363636363637
Virgin America,positive,1.0,Unknown,2015-02-24 10:30:06-08:00,this is such a great deal already thinking about my nd trip to amp i havent even gone on my st trip yet p,2015,2,24,2,105,24,4.375
Virgin America,positive,0.6451,Unknown,2015-02-24 10:21:28-08:00,im flying your skies again u take all the away from travel,2015,2,24,2,58,12,4.833333333333333
Virgin America,negative,0.6842,Late Flight,2015-02-24 10:01:50-08:00,sfopdx schedule is still mia,2015,2,24,0,28,5,5.6
Virgin America,positive,1.0,Unknown,2015-02-24 09:42:59-08:00,so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america,2015,2,24,2,111,20,5.55
Virgin America,negative,1.0,Bad Flight,2015-02-24 09:39:46-08:00,i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help,2015,2,24,0,118,26,4.538461538461538
Virgin America,positive,1.0,Unknown,2015-02-24 09:04:10-08:00,you know what would be amazingly awesome bosfll please i want to fly with only you,2015,2,24,2,82,16,5.125
Virgin America,negative,0.6705,Can't Tell,2015-02-24 08:55:56-08:00,why are your first fares in may over three times more than other carriers when all seats are available to select,2015,2,24,0,112,21,5.333333333333333
Virgin America,positive,1.0,Unknown,2015-02-24 08:49:01-08:00,i love this graphic,2015,2,24,2,19,4,4.75
Virgin America,positive,1.0,Unknown,2015-02-24 08:30:15-08:00,i love the hipster innovation you are a feel good brand,2015,2,24,2,55,11,5.0
Virgin America,neutral,1.0,Unknown,2015-02-24 08:27:52-08:00,will you be making bosgtlas non stop permanently anytime soon,2015,2,24,1,61,10,6.1
Virgin America,negative,1.0,Customer Service Issue,2015-02-24 08:18:51-08:00,you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet,2015,2,24,0,116,23,5.043478260869565
Virgin America,negative,1.0,Customer Service Issue,2015-02-24 07:49:15-08:00,status match program i applied and its been three weeks called and emailed with no response,2015,2,24,0,91,16,5.6875
Virgin America,negative,1.0,Can't Tell,2015-02-24 07:11:37-08:00,what happened ur vegan food options at least say on ur site so i know i wont be able eat anything for next hrs,2015,2,24,0,110,24,4.583333333333333
Virgin America,neutral,0.6854,Unknown,2015-02-24 05:44:59-08:00,do you miss me dont worry well be together very soon,2015,2,24,1,52,11,4.7272727272727275
Virgin America,negative,1.0,Bad Flight,2015-02-24 05:05:28-08:00,amazing to me that we cant get any cold air from the vents,2015,2,24,0,58,13,4.461538461538462
Virgin America,neutral,0.615,Unknown,2015-02-23 23:34:30-08:00,lax to ewr middle seat on a red eye such a noob maneuver,2015,2,23,1,56,13,4.3076923076923075
Virgin America,negative,1.0,Flight Booking Problems,2015-02-23 22:52:29-08:00,hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems,2015,2,23,0,135,27,5.0
Virgin America,neutral,1.0,Unknown,2015-02-23 21:35:43-08:00,are the hours of operation for the club at sfo that are posted online current,2015,2,23,1,77,15,5.133333333333334
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 21:10:41-08:00,help left expensive headphones on flight iad to lax today seat a no one answering lampf number at lax,2015,2,23,0,101,19,5.315789473684211
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 20:55:30-08:00,awaiting my return phone call just would prefer to use your online selfservice option,2015,2,23,0,85,14,6.071428571428571
Virgin America,positive,1.0,Unknown,2015-02-23 20:24:33-08:00,this is great news america could start flights to hawaii by end of year via,2015,2,23,2,75,15,5.0
Virgin America,neutral,0.6207,Unknown,2015-02-23 18:46:00-08:00,nice rt vibe with the moodlight from takeoff to touchdown,2015,2,23,1,57,10,5.7
Virgin America,positive,1.0,Unknown,2015-02-23 18:43:35-08:00,moodlighting is the only way to fly best experience ever cool and calming,2015,2,23,2,73,13,5.615384615384615
Virgin America,positive,1.0,Unknown,2015-02-23 18:19:47-08:00,done and done best airline around hands down,2015,2,23,2,44,8,5.5
Virgin America,neutral,0.6791,Unknown,2015-02-23 17:54:09-08:00,when can i book my flight to hawaii,2015,2,23,1,35,8,4.375
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 17:41:58-08:00,your chat support is not working on your site,2015,2,23,0,45,9,5.0
Virgin America,positive,0.6639,Unknown,2015-02-23 17:32:54-08:00,view of downtown los angeles the hollywood sign and beyond that rain in the mountains,2015,2,23,2,85,15,5.666666666666667
Virgin America,negative,0.6688,Flight Booking Problems,2015-02-23 17:00:40-08:00,hey first time flyer next week excited but im having a hard time getting my flights added to my elevate account help,2015,2,23,0,116,22,5.2727272727272725
Virgin America,neutral,1.0,Unknown,2015-02-23 16:24:11-08:00,plz help me win my bid upgrade for my flight laxgtsea,2015,2,23,1,53,11,4.818181818181818
Virgin America,neutral,0.6578,Unknown,2015-02-23 16:20:38-08:00,i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires,2015,2,23,1,107,24,4.458333333333333
Virgin America,neutral,1.0,Unknown,2015-02-23 16:13:09-08:00,are flights leaving dallas for seattle on time feb,2015,2,23,1,50,9,5.555555555555555
Virgin America,positive,1.0,Unknown,2015-02-23 16:08:07-08:00,im for a good reason you rock,2015,2,23,2,29,7,4.142857142857143
Virgin America,positive,1.0,Unknown,2015-02-23 16:01:25-08:00,wow this just blew my mind,2015,2,23,2,26,6,4.333333333333333
Virgin America,neutral,1.0,Unknown,2015-02-23 16:01:17-08:00,after last night i think agree,2015,2,23,1,30,6,5.0
Virgin America,neutral,0.6436,Unknown,2015-02-23 15:58:00-08:00,all were entertaining,2015,2,23,1,21,3,7.0
Virgin America,neutral,0.6764,Unknown,2015-02-23 15:55:18-08:00,is flight on its way was supposed to take off minutes ago website still shows on time not in flight thanks,2015,2,23,1,106,21,5.0476190476190474
Virgin America,positive,0.657,Unknown,2015-02-23 15:46:46-08:00,julie andrews all the way though was very impressive no to,2015,2,23,2,58,11,5.2727272727272725
Virgin America,neutral,1.0,Unknown,2015-02-23 15:36:51-08:00,wish you flew out of atlanta soon,2015,2,23,1,33,7,4.714285714285714
Virgin America,neutral,0.7118,Unknown,2015-02-23 15:24:09-08:00,julie andrews hands down,2015,2,23,1,24,4,6.0
Virgin America,neutral,1.0,Unknown,2015-02-23 15:19:41-08:00,will flights be leaving dallas for la on february th,2015,2,23,1,52,10,5.2
Virgin America,negative,0.6939,Flight Booking Problems,2015-02-23 15:05:09-08:00,hi im so excited about your lgagtdal deal but ive been trying book since last week amp the page never loads thx,2015,2,23,0,111,22,5.045454545454546
Virgin America,positive,1.0,Unknown,2015-02-23 15:04:29-08:00,you know it need it on my spotify stat,2015,2,23,2,38,9,4.222222222222222
Virgin America,positive,0.635,Unknown,2015-02-23 14:40:33-08:00,im lady gaga she is amazing,2015,2,23,2,27,6,4.5
Virgin America,neutral,1.0,Unknown,2015-02-23 14:37:42-08:00,new marketing song let us know what you think,2015,2,23,1,45,9,5.0
Virgin America,neutral,1.0,Unknown,2015-02-23 14:36:58-08:00,julie andrews first but lady gaga wowd me last night carrie meh,2015,2,23,1,63,12,5.25
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 14:35:50-08:00,i called a weeks ago about adding flights from to my elevatethey still havent shown uphelp,2015,2,23,0,90,16,5.625
Virgin America,neutral,0.6858,Unknown,2015-02-23 14:30:13-08:00,all are great but i have to go with,2015,2,23,1,35,9,3.888888888888889
Virgin America,neutral,1.0,Unknown,2015-02-23 14:26:53-08:00,sorry mary martin had it first,2015,2,23,1,30,6,5.0
Virgin America,positive,1.0,Unknown,2015-02-23 14:25:09-08:00,love all three but you really cant beat the classics,2015,2,23,2,52,10,5.2
Virgin America,neutral,0.6814,Unknown,2015-02-23 14:09:06-08:00,flight dal to dca pm tried to check in could not status please,2015,2,23,1,62,13,4.769230769230769
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 13:46:30-08:00,heyyyy guyyyys been trying to get through for an hour can someone call me please,2015,2,23,0,80,15,5.333333333333333
Virgin America,negative,1.0,Late Flight,2015-02-23 13:35:23-08:00,hi virgin im on hold for minutes are there any earlier flights from la to nyc tonight earlier than pm,2015,2,23,0,101,20,5.05
